Date,Category,Product,Units_Sold,Price_per_Unit,Total_Sales
2023-01-01,Toys,Board Game,3,368.68,1106.04
2023-01-01,Books,Fiction,3,228.46,685.38
2023-01-01,Home & Kitchen,Cookware Set,4,173.52,694.08
2023-01-01,Home & Kitchen,Microwave,1,485.26,485.26
2023-01-01,Toys,Doll,2,10.38,20.76
2023-01-01,Toys,Board Game,1,159.08,159.08
2023-01-01,Books,Fiction,1,267.14,267.14
2023-01-01,Clothing,Jacket,2,54.4,108.8
2023-01-01,Home & Kitchen,Cookware Set,4,300.28,1201.12
2023-01-01,Home & Kitchen,Mixer,3,343.35,1030.05
2023-01-01,Electronics,Headphones,2,474.95,949.9
2023-01-02,Clothing,T-Shirt,2,57.86,115.72
2023-01-02,Toys,Remote Car,4,69.8,279.2
2023-01-02,Books,Comics,3,455.57,1366.71
2023-01-02,Toys,Doll,4,380.13,1520.52
2023-01-02,Clothing,Jeans,1,485.1,485.1
2023-01-02,Clothing,Jeans,2,448.47,896.94
2023-01-03,Toys,Board Game,2,169.41,338.82
2023-01-03,Books,Biography,3,416.08,1248.24
2023-01-03,Clothing,T-Shirt,4,307.45,1229.8
2023-01-03,Books,Fiction,1,403.08,403.08
2023-01-03,Electronics,Smartphone,3,217.47,652.41
2023-01-03,Electronics,Headphones,3,107.43,322.29
2023-01-03,Home & Kitchen,Cookware Set,1,306.92,306.92
2023-01-03,Clothing,Jacket,2,66.78,133.56
2023-01-03,Electronics,Laptop,1,41.14,41.14
2023-01-03,Books,Comics,4,322.4,1289.6
2023-01-03,Home & Kitchen,Cookware Set,1,197.63,197.63
2023-01-03,Home & Kitchen,Mixer,1,285.03,285.03
2023-01-04,Home & Kitchen,Mixer,3,219.5,658.5
2023-01-04,Clothing,T-Shirt,3,,76.2
2023-01-04,Electronics,Smartphone,4,350.8,1403.2
2023-01-04,Books,Comics,3,211.09,633.27
2023-01-04,Home & Kitchen,Mixer,4,472.0,1888.0
2023-01-04,Home & Kitchen,Cookware Set,2,441.43,882.86
2023-01-04,Clothing,T-Shirt,2,320.37,640.74
2023-01-04,Toys,Doll,2,274.28,548.56
2023-01-04,Clothing,Jacket,4,184.59,738.36
2023-01-04,Electronics,Smartphone,1,327.37,327.37
2023-01-04,Electronics,Smartphone,1,159.34,159.34
2023-01-05,Home & Kitchen,Mixer,2,118.83,237.66
2023-01-05,Home & Kitchen,Microwave,4,129.62,518.48
2023-01-05,Home & Kitchen,Microwave,4,264.21,1056.84
2023-01-05,Electronics,Smartphone,2,486.17,972.34
2023-01-05,Toys,Doll,3,253.65,760.95
2023-01-05,Electronics,Smartphone,1,498.89,498.89
2023-01-05,Home & Kitchen,Mixer,2,256.31,512.62
2023-01-05,Books,Fiction,1,127.39,127.39
2023-01-05,Clothing,T-Shirt,4,229.41,917.64
2023-01-05,Toys,Remote Car,3,191.13,573.39
2023-01-06,Books,Biography,2,205.42,410.84
2023-01-06,Electronics,Smartphone,4,259.02,1036.08
2023-01-06,Books,Comics,4,169.72,678.88
2023-01-06,Toys,Remote Car,2,260.93,521.86
2023-01-06,Home & Kitchen,Cookware Set,4,470.86,1883.44
2023-01-07,Clothing,T-Shirt,3,177.12,531.36
2023-01-07,Electronics,Laptop,3,275.31,825.93
2023-01-07,Clothing,Jacket,3,333.39,1000.17
2023-01-07,Clothing,T-Shirt,4,269.53,1078.12
2023-01-07,Clothing,T-Shirt,4,483.06,1932.24
2023-01-07,Books,Fiction,4,320.22,1280.88
2023-01-07,Electronics,Smartphone,3,353.18,1059.54
2023-01-07,Home & Kitchen,Microwave,4,445.01,1780.04
2023-01-07,Toys,Remote Car,1,89.2,89.2
2023-01-07,Toys,Doll,3,192.42,577.26
2023-01-07,Electronics,Headphones,1,12.48,12.48
2023-01-07,Clothing,Jeans,2,229.73,459.46
2023-01-08,Toys,Board Game,4,126.25,505.0
2023-01-08,Books,Comics,3,332.23,996.69
2023-01-08,Electronics,Headphones,3,321.8,965.4
2023-01-08,Books,Comics,2,453.99,907.98
2023-01-08,Home & Kitchen,Microwave,1,256.29,256.29
2023-01-08,Toys,Remote Car,4,433.44,1733.76
2023-01-08,Toys,Board Game,4,147.58,590.32
2023-01-08,Home & Kitchen,Mixer,4,96.78,387.12
2023-01-08,Toys,Doll,1,146.98,146.98
2023-01-08,Home & Kitchen,Mixer,1,464.88,464.88
2023-01-08,Electronics,Laptop,1,290.42,290.42
2023-01-08,Toys,Board Game,4,154.28,617.12
2023-01-08,Books,Comics,1,165.29,165.29
2023-01-09,Electronics,Laptop,3,423.66,1270.98
2023-01-09,Home & Kitchen,Microwave,4,112.37,449.48
2023-01-09,Clothing,Jacket,3,154.69,464.07
2023-01-09,Clothing,T-Shirt,4,351.54,1406.16
2023-01-09,Home & Kitchen,Microwave,4,280.88,1123.52
2023-01-09,Clothing,Jacket,2,406.96,813.92
2023-01-10,Books,Biography,3,255.74,767.22
2023-01-10,Books,Fiction,4,353.96,1415.84
2023-01-10,Toys,Remote Car,3,23.53,70.59
2023-01-10,Clothing,Jeans,4,293.36,1173.44
2023-01-10,Home & Kitchen,Mixer,2,275.9,551.8
2023-01-10,Books,Biography,2,431.6,863.2
2023-01-10,Electronics,Laptop,2,,317.2
2023-01-10,Home & Kitchen,Mixer,1,415.66,415.66
2023-01-10,Toys,Board Game,3,51.82,155.46
2023-01-10,Books,Biography,3,352.76,1058.28
2023-01-10,Toys,Board Game,2,262.99,525.98
2023-01-10,Home & Kitchen,Mixer,4,142.71,570.84
2023-01-10,Toys,Doll,3,132.92,398.76
2023-01-11,Books,Biography,3,219.87,659.61
2023-01-11,Toys,Board Game,1,94.91,94.91
2023-01-11,Electronics,Headphones,2,127.5,255.0
2023-01-11,Electronics,Smartphone,1,322.75,322.75
2023-01-11,Books,Comics,4,281.63,1126.52
2023-01-11,Books,Comics,3,131.39,394.17
2023-01-11,Home & Kitchen,Mixer,2,17.05,34.1
2023-01-11,Toys,Board Game,3,29.96,89.88
2023-01-11,Toys,Board Game,4,18.41,73.64
2023-01-11,Clothing,T-Shirt,3,179.69,539.07
2023-01-11,Books,Comics,2,311.77,623.54
